"","LotFrontage","LotArea","OverallQual","OverallCond","YearBuilt","YearRemodAdd","TotalBsmtSF","GrLivArea","FullBath","HalfBath","BedroomAbvGr","TotRmsAbvGrd","Fireplaces","GarageCars","YrSold","SalePrice","LotShapes","LotConfigs","Neighborhoods","BldgTypes","HouseStyles","Exterior_1st","Foundations","BsmtFin_Type1","Kitchen_Qual","GarageTypes"
"699",48,6240,8,5,2006,2006,1324,1324,2,0,2,6,1,2,2009,254000,"Reg","Inside","NridgHt","TwnhsE","1Story","MetalSd","PConc","GLQ","Gd","Attchd"
"700",65,9018,7,5,2007,2007,728,1456,2,1,3,8,1,2,2007,179540,"IR1","Inside","Gilbert","1Fam","2Story","VinylSd","PConc","Unf","Gd","Attchd"
"701",NA,7162,5,7,1966,1966,876,904,1,0,3,6,0,1,2008,109900,"IR1","Inside","Sawyer","1Fam","1Story","HdBoard","PConc","Unf","TA","Attchd"
"702",56,4130,3,6,1935,2003,270,729,1,0,2,5,0,0,2008,52000,"IR1","Inside","BrkSide","1Fam","1Story","VinylSd","CBlock","Unf","TA",NA
"703",66,8712,4,7,1900,1950,859,1178,1,0,2,7,0,1,2010,102776,"Reg","Inside","IDOTRR","1Fam","1.5Fin","MetalSd","Stone","Unf","TA","Detchd"
"704",40,4671,8,5,1988,1989,1228,1228,2,0,2,5,1,2,2008,189000,"IR1","Inside","StoneBr","TwnhsE","1Story","HdBoard","PConc","GLQ","Gd","Attchd"
"705",60,9873,4,5,1970,1970,960,960,1,0,3,6,0,2,2006,129000,"Reg","Inside","BrkSide","2fmCon","1Story","HdBoard","CBlock","ALQ","TA","Detchd"
"706",NA,13517,6,8,1976,2005,725,1479,2,1,3,6,0,2,2010,130500,"IR1","CulDSac","Sawyer","1Fam","2Story","HdBoard","CBlock","GLQ","Gd","Attchd"
"707",78,10140,6,5,1974,1974,1064,1350,2,0,3,7,1,2,2009,165000,"Reg","Inside","NWAmes","1Fam","1Story","HdBoard","CBlock","Unf","TA","Attchd"
"708",60,10800,7,8,1890,1998,718,2554,1,1,3,8,0,2,2007,159500,"Reg","Inside","OldTown","1Fam","2Story","Wd Sdng","BrkTil","Unf","TA","Detchd"
"709",80,10000,5,6,1973,2000,1176,1178,1,1,3,5,1,2,2008,157000,"Reg","Inside","NWAmes","1Fam","1Story","HdBoard","CBlock","BLQ","Gd","Attchd"
"710",96,10542,7,5,1993,1994,1311,2418,2,1,3,9,1,3,2008,341000,"Reg","Inside","NoRidge","1Fam","2Story","Wd Sdng","PConc","GLQ","Gd","Attchd"
"711",69,9920,5,6,1969,1969,971,971,1,1,3,5,1,1,2006,128500,"IR1","Inside","CollgCr","1Fam","1Story","HdBoard","CBlock","ALQ","TA","Attchd"
"712",NA,6563,8,5,1985,1985,1742,1742,2,0,2,5,1,2,2006,275000,"IR1","CulDSac","StoneBr","1Fam","1Story","HdBoard","PConc","GLQ","Gd","Attchd"
"713",NA,4426,6,5,2004,2004,848,848,1,0,1,3,0,2,2010,143000,"Reg","Inside","CollgCr","TwnhsE","1Story","VinylSd","PConc","GLQ","Gd","Attchd"
"714",70,8120,4,7,1970,1970,864,864,1,0,3,5,0,2,2009,124500,"Reg","Inside","NAmes","1Fam","1Story","MetalSd","CBlock","ALQ","TA","Detchd"
"715",60,8172,4,6,1954,1972,941,1470,2,0,4,7,0,1,2008,135000,"Reg","Inside","Edwards","1Fam","1.5Fin","MetalSd","PConc","Unf","TA","Detchd"
"716",86,13286,9,5,2007,2008,1698,1698,2,0,3,8,1,3,2009,320000,"IR1","Inside","Edwards","1Fam","1Story","CemntBd","PConc","GLQ","Ex","Attchd"
"717",60,6960,4,6,1970,1970,864,864,1,0,3,5,0,2,2009,120500,"Reg","Inside","NAmes","1Fam","1Story","HdBoard","CBlock","ALQ","Gd","Detchd"
"718",NA,21695,6,9,1988,2007,880,1680,2,0,3,5,1,2,2009,222000,"IR1","Corner","Crawfor","1Fam","1Story","Wd Sdng","CBlock","GLQ","Gd","Attchd"
"719",64,7314,7,5,2007,2007,1232,1232,2,0,2,6,0,2,2009,194500,"Reg","Inside","CollgCr","1Fam","1Story","VinylSd","PConc","GLQ","Gd","Attchd"
"720",85,11475,5,5,1958,1958,1584,1776,2,0,4,9,0,3,2009,110000,"Reg","Corner","NAmes","Duplex","1Story","VinylSd","CBlock","Unf","TA","Detchd"
"721",52,6240,4,5,1925,1950,780,1208,1,0,2,5,0,2,2009,103000,"Reg","Inside","IDOTRR","1Fam","1.5Fin","MetalSd","CBlock","BLQ","TA","Detchd"
"722",39,5389,8,5,1995,1996,1595,1616,2,0,2,5,1,2,2010,236500,"IR1","Inside","StoneBr","TwnhsE","1Story","CemntBd","PConc","GLQ","Gd","Attchd"
"723",73,9590,7,5,2003,2003,868,1146,2,0,3,6,1,2,2007,187500,"IR1","Corner","Timber","1Fam","SLvl","VinylSd","PConc","GLQ","Gd","Attchd"
"724",75,11404,7,5,1998,1999,1153,2031,2,1,3,8,1,2,2008,222500,"IR1","Inside","CollgCr","1Fam","2Story","VinylSd","PConc","ALQ","Gd","Attchd"
"725",80,10000,5,6,1961,1983,864,1144,1,0,3,6,1,1,2009,131400,"Reg","Corner","Sawyer","1Fam","1Story","HdBoard","CBlock","BLQ","TA","Attchd"
"726",NA,8978,5,5,1968,1968,948,948,1,0,3,6,0,1,2007,108000,"IR1","Corner","Sawyer","1Fam","1Story","Plywood","PConc","Unf","TA","Attchd"
"727",60,10800,7,7,1914,1970,880,1768,1,1,2,6,2,2,2006,163000,"Reg","Inside","OldTown","1Fam","2.5Unf","Wd Sdng","BrkTil","Rec","TA","Detchd"
"728",60,8544,3,4,1950,1950,0,1040,2,0,2,6,0,2,2006,93500,"Reg","Inside","NAmes","Duplex","1Story","Stucco","CBlock",NA,"TA","Detchd"
"729",72,10463,8,5,2005,2005,893,1801,2,1,3,8,1,3,2006,239900,"IR1","CulDSac","Gilbert","1Fam","2Story","VinylSd","PConc","Unf","Gd","Attchd"
"730",60,10800,5,5,1987,1988,1200,1200,3,0,3,5,0,0,2009,179000,"Reg","Inside","Edwards","Duplex","1Story","Plywood","CBlock","GLQ","TA",NA
"731",65,9313,7,5,2004,2004,864,1728,2,1,3,7,0,2,2009,190000,"IR1","Inside","CollgCr","1Fam","2Story","VinylSd","PConc","Unf","Gd","Attchd"
"732",60,9600,5,7,1910,2002,264,1432,2,0,2,7,0,2,2007,132000,"Reg","Inside","OldTown","1Fam","2Story","Wd Sdng","BrkTil","Unf","TA","Detchd"
"733",65,6768,6,8,1961,1996,912,912,1,0,3,5,0,1,2008,142000,"IR1","Inside","Sawyer","1Fam","1Story","HdBoard","CBlock","GLQ","Gd","Detchd"
"734",65,8450,7,5,2000,2001,1349,1349,2,0,3,6,0,2,2007,179000,"Reg","Inside","SawyerW","1Fam","1Story","VinylSd","PConc","Unf","TA","Attchd"
"735",70,12886,5,6,1963,1999,520,1464,2,0,3,6,1,2,2009,175000,"IR1","Inside","Sawyer","1Fam","SLvl","HdBoard","CBlock","ALQ","TA","Attchd"
"736",41,5395,8,5,1993,1993,1337,1337,2,0,2,5,1,2,2008,180000,"IR1","Inside","StoneBr","TwnhsE","1Story","HdBoard","PConc","GLQ","Gd","Attchd"
"737",NA,8963,8,9,1976,1996,1142,2715,3,1,4,11,2,2,2008,299800,"IR1","Inside","NWAmes","1Fam","2Story","VinylSd","CBlock","GLQ","Gd","BuiltIn"
"738",NA,8795,7,5,2000,2000,952,2256,2,1,4,8,1,2,2009,236000,"IR1","Inside","Gilbert","1Fam","2Story","VinylSd","PConc","GLQ","Gd","BuiltIn"
"739",65,11700,7,7,1880,2003,1240,2640,1,1,4,8,1,4,2009,265979,"IR1","Corner","OldTown","1Fam","2Story","Stucco","Stone","Unf","Gd","Detchd"
"740",59,10593,7,5,1996,1996,1720,1720,2,0,3,7,1,2,2010,260400,"IR1","Inside","NoRidge","1Fam","1Story","VinylSd","PConc","GLQ","Gd","Attchd"
"741",50,8405,4,3,1945,1950,0,1529,2,0,4,9,0,1,2009,98000,"Reg","Inside","Edwards","1Fam","1.5Fin","WdShing","Slab",NA,"TA","Detchd"
"742",55,8800,4,7,1910,2004,576,1140,1,0,3,7,0,0,2010,96500,"Reg","Corner","OldTown","1Fam","1.5Fin","Wd Sdng","BrkTil","Unf","TA",NA
"743",NA,7750,7,5,2003,2003,660,1320,2,1,3,6,0,2,2007,162000,"Reg","Inside","Gilbert","1Fam","2Story","VinylSd","PConc","Unf","Gd","Attchd"
"744",79,9236,6,5,1997,1997,1479,1494,2,0,3,6,0,2,2006,217000,"IR1","Inside","CollgCr","1Fam","1Story","VinylSd","PConc","GLQ","Gd","Attchd"
"745",80,10240,8,5,2005,2005,1030,2098,2,1,3,8,1,3,2006,275500,"Reg","Inside","NridgHt","1Fam","2Story","VinylSd","PConc","Unf","Ex","Attchd"
"746",61,7930,6,8,1969,2005,1026,1026,1,0,3,5,0,2,2009,156000,"Reg","Inside","NAmes","1Fam","1Story","Plywood","CBlock","GLQ","Gd","Detchd"
"747",34,3230,6,5,1999,1999,729,1471,2,1,3,6,0,2,2009,172500,"Reg","Inside","Somerst","TwnhsE","2Story","MetalSd","PConc","GLQ","TA","Detchd"
"748",68,10769,8,5,2007,2007,866,1768,2,1,3,7,0,2,2009,212000,"IR1","Inside","CollgCr","1Fam","2Story","VinylSd","PConc","GLQ","Gd","Attchd"
"749",NA,11616,6,5,1978,1978,672,1386,2,1,3,6,1,2,2010,158900,"IR1","CulDSac","Sawyer","1Fam","2Story","HdBoard","CBlock","Rec","TA","Attchd"
"750",24,2280,7,5,1999,1999,744,1501,2,1,3,6,0,2,2008,179400,"Reg","Inside","Somerst","Twnhs","2Story","MetalSd","PConc","ALQ","TA","Detchd"
"751",65,12257,8,5,1995,1995,1318,2531,2,1,4,9,1,3,2007,290000,"IR1","Inside","NoRidge","1Fam","2Story","VinylSd","PConc","LwQ","Gd","Attchd"
"752",70,9100,6,6,1959,1959,864,864,1,0,2,5,0,1,2009,127500,"Reg","Inside","NAmes","1Fam","1Story","Wd Sdng","CBlock","Rec","TA","Detchd"
"753",60,6911,5,5,1924,1950,1145,1301,1,0,2,5,0,2,2009,100000,"Reg","FR2","BrkSide","1Fam","1Story","Wd Sdng","PConc","LwQ","Fa","Detchd"
"754",72,8640,7,5,2009,2009,756,1547,2,1,3,7,0,2,2010,215200,"Reg","Inside","Somerst","1Fam","2Story","VinylSd","PConc","GLQ","Gd","Attchd"
"755",82,9430,8,5,1999,1999,1252,2365,2,1,3,8,1,3,2009,337000,"Reg","Inside","NoRidge","1Fam","2Story","VinylSd","PConc","GLQ","Gd","Attchd"
"756",30,9549,8,5,1995,1996,1494,1494,1,1,2,6,1,2,2006,270000,"IR1","CulDSac","Veenker","TwnhsE","1Story","BrkFace","PConc","LwQ","Ex","Attchd"
"757",75,14587,9,5,2008,2008,1498,1506,2,0,2,6,1,2,2008,264132,"IR1","Inside","Somerst","1Fam","1Story","VinylSd","PConc","Unf","Ex","Attchd"
"758",80,10421,7,5,1988,1988,980,1714,2,1,3,7,1,2,2010,196500,"Reg","Inside","NWAmes","1Fam","2Story","HdBoard","CBlock","GLQ","TA","Attchd"
"759",75,12508,6,7,1940,1985,983,1750,2,0,4,7,0,1,2008,160000,"IR1","Inside","Mitchel","1Fam","1.5Fin","VinylSd","CBlock","ALQ","TA","Attchd"
"760",70,9100,7,5,2004,2005,1860,1836,2,0,3,8,1,2,2006,216837,"Reg","Inside","CollgCr","1Fam","1Story","VinylSd","PConc","GLQ","Gd","Attchd"
"761",47,53504,8,5,2003,2003,1650,3279,3,1,4,12,1,3,2010,538000,"IR2","CulDSac","StoneBr","1Fam","2Story","CemntBd","PConc","ALQ","Ex","BuiltIn"
"762",NA,7252,5,5,1982,1982,858,858,1,0,2,5,0,2,2009,134900,"IR1","CulDSac","Sawyer","1Fam","SFoyer","Wd Sdng","CBlock","GLQ","TA","Detchd"
"763",67,8877,4,5,1951,1951,836,1220,1,0,2,6,0,2,2006,102000,"Reg","Inside","Edwards","1Fam","1Story","Wd Sdng","CBlock","LwQ","TA","Detchd"
"764",94,7819,6,5,1976,1976,1029,1117,1,0,3,6,1,2,2010,107000,"Reg","Inside","Edwards","1Fam","SLvl","Plywood","CBlock","ALQ","TA","Detchd"
"765",70,10150,5,5,1958,1958,912,912,1,0,2,5,0,1,2007,114500,"Reg","Inside","NAmes","1Fam","1Story","Wd Sdng","CBlock","Rec","TA","Attchd"
"766",110,14226,8,5,2006,2006,1935,1973,2,0,3,9,1,3,2007,395000,"Reg","Corner","NridgHt","1Fam","1Story","VinylSd","PConc","Unf","Gd","Attchd"
"767",32,4500,6,5,1998,1998,1204,1204,2,0,2,5,0,2,2009,162000,"Reg","FR2","Mitchel","TwnhsE","1Story","VinylSd","PConc","GLQ","TA","Attchd"
"768",86,11210,7,5,2005,2006,1614,1614,2,0,3,7,0,3,2006,221500,"IR1","Inside","CollgCr","1Fam","1Story","VinylSd","PConc","GLQ","Gd","Attchd"
"769",100,13350,5,5,1974,1974,864,894,1,0,3,5,1,2,2006,142500,"IR1","Inside","Sawyer","1Fam","1Story","HdBoard","CBlock","ALQ","TA","Attchd"
"770",60,8400,5,5,1977,1977,0,2020,2,0,4,10,2,2,2007,144000,"Reg","Inside","SawyerW","Duplex","1Story","Plywood","Slab",NA,"TA","Detchd"
"771",78,10530,6,5,1977,1977,975,1004,1,0,2,4,0,2,2006,135000,"Reg","Inside","Mitchel","Duplex","SFoyer","Plywood","CBlock","GLQ","TA","Attchd"
"772",63,7875,7,5,1995,1996,1237,1253,2,0,3,6,1,2,2007,176000,"Reg","Inside","Gilbert","1Fam","1Story","HdBoard","PConc","Unf","TA","Attchd"
"773",65,7153,6,5,1992,1992,761,1603,2,1,3,7,0,2,2006,175900,"Reg","Inside","SawyerW","1Fam","2Story","VinylSd","PConc","ALQ","Gd","Attchd"
"774",67,16285,7,5,2001,2002,1413,1430,2,0,3,6,0,2,2009,187100,"IR2","Inside","CollgCr","1Fam","1Story","VinylSd","PConc","Unf","Gd","Attchd"
"775",NA,9101,5,6,1978,1978,1097,1110,1,0,1,4,1,2,2009,165500,"IR1","Corner","Mitchel","1Fam","SFoyer","Plywood","PConc","GLQ","Gd","Attchd"
"776",35,6300,6,6,1914,2001,742,1484,2,0,3,9,1,0,2008,128000,"Reg","Inside","OldTown","1Fam","2.5Unf","Wd Sdng","CBlock","Unf","TA",NA
"777",NA,9790,6,5,1967,1967,1372,1342,2,0,3,7,1,2,2009,161500,"Reg","Inside","NWAmes","1Fam","1Story","BrkFace","CBlock","Rec","TA","Attchd"
"778",60,10800,5,6,1915,1950,686,1652,2,0,4,7,0,1,2010,139000,"Reg","Inside","OldTown","1Fam","1.5Fin","MetalSd","PConc","LwQ","TA","Detchd"
"779",76,10142,7,5,2004,2004,956,2084,2,1,4,8,0,2,2010,233000,"IR1","Inside","SawyerW","1Fam","2Story","VinylSd","PConc","GLQ","Gd","BuiltIn"
"780",50,6000,4,7,1954,2000,901,901,1,0,2,4,0,1,2008,107900,"Reg","Corner","OldTown","1Fam","1Story","MetalSd","CBlock","Unf","TA","Detchd"
"781",NA,12205,6,8,1966,2007,832,2087,2,1,5,9,0,2,2007,187500,"IR1","Inside","ClearCr","1Fam","2Story","HdBoard","CBlock","LwQ","Gd","Attchd"
"782",43,3182,7,5,2005,2006,1145,1145,2,0,2,5,1,2,2009,160200,"Reg","Inside","Blmngtn","TwnhsE","1Story","VinylSd","PConc","GLQ","Gd","Attchd"
"783",NA,11333,6,5,1976,1976,1029,1062,1,0,3,5,2,2,2007,146800,"IR1","Corner","Mitchel","1Fam","SLvl","HdBoard","PConc","ALQ","TA","Attchd"
"784",92,9920,7,5,1996,1997,1117,2013,2,1,3,8,1,2,2007,269790,"IR1","CulDSac","NoRidge","1Fam","2Story","MetalSd","PConc","GLQ","TA","Attchd"
"785",76,9158,8,5,2007,2007,1496,1496,2,0,3,7,0,2,2007,225000,"Reg","Inside","Somerst","1Fam","1Story","CemntBd","PConc","Unf","Gd","Attchd"
"786",NA,10832,7,5,1994,1996,712,1895,2,1,3,7,1,2,2008,194500,"IR1","Corner","Gilbert","1Fam","2Story","MetalSd","PConc","Unf","Gd","Attchd"
"787",70,8400,6,6,1980,1981,650,1564,2,1,3,7,1,2,2010,171000,"Reg","Inside","SawyerW","1Fam","2Story","HdBoard","CBlock","Unf","TA","Attchd"
"788",71,8197,6,5,1977,1977,660,1285,1,1,3,7,1,2,2007,143500,"Reg","Inside","Sawyer","1Fam","1Story","Plywood","CBlock","Unf","TA","Attchd"
"789",57,7677,5,5,1953,1953,773,773,1,0,2,4,0,1,2008,110000,"Reg","Inside","NAmes","1Fam","1Story","VinylSd","CBlock","BLQ","TA","Attchd"
"790",104,13518,9,5,2008,2009,1926,3140,3,1,4,11,2,3,2009,485000,"Reg","Inside","NridgHt","1Fam","2Story","VinylSd","PConc","Unf","Ex","BuiltIn"
"791",60,7200,5,7,1937,1950,731,1768,1,1,3,7,2,1,2007,175000,"Reg","Corner","SWISU","1Fam","1.5Fin","Wd Sdng","BrkTil","ALQ","Gd","Detchd"
"792",79,12798,6,5,1997,1997,616,1688,2,1,4,8,0,2,2008,200000,"IR1","Inside","ClearCr","1Fam","2Story","VinylSd","PConc","GLQ","Gd","Attchd"
"793",40,4800,4,7,1916,1990,1196,1196,1,0,2,5,0,2,2007,109900,"Reg","Inside","IDOTRR","1Fam","1Story","MetalSd","CBlock","LwQ","TA","Detchd"
"794",63,8199,7,5,2005,2005,728,1456,2,1,3,7,1,2,2008,189000,"Reg","Inside","CollgCr","1Fam","2Story","WdShing","PConc","GLQ","Gd","Attchd"
"795",75,9000,5,5,1954,1954,936,1128,1,0,2,5,0,1,2006,118000,"Reg","Inside","NAmes","1Fam","1Story","Wd Sdng","CBlock","LwQ","TA","Attchd"
"796",91,12274,7,5,2008,2008,1417,1428,2,0,3,6,0,2,2008,227680,"IR1","FR2","Somerst","1Fam","1Story","VinylSd","PConc","Unf","Ex","Attchd"
"797",75,9750,5,5,1967,1967,980,980,2,0,3,6,0,1,2006,135500,"Reg","Inside","NAmes","1Fam","SLvl","VinylSd","PConc","ALQ","TA","Attchd"
"798",144,21384,5,6,1923,2004,1324,1576,1,1,3,6,1,2,2009,223500,"Reg","Inside","BrkSide","1Fam","2Story","Wd Sdng","CBlock","GLQ","Gd","Attchd"
"799",85,13400,5,5,1966,1966,1024,1086,1,0,3,6,1,2,2006,159950,"Reg","Inside","NAmes","1Fam","SLvl","VinylSd","CBlock","ALQ","TA","Attchd"
"800",90,8100,5,5,1898,1965,849,2138,2,0,2,11,0,2,2009,106000,"Reg","Corner","OldTown","1Fam","2.5Unf","AsbShng","PConc","Unf","TA","Detchd"
"801",78,10140,6,6,1974,1999,1040,1309,1,1,3,5,1,2,2006,181000,"Reg","Inside","NWAmes","1Fam","1Story","HdBoard","CBlock","ALQ","Gd","Attchd"
"802",NA,4438,6,5,2004,2004,848,848,1,0,1,4,1,2,2008,144500,"Reg","Inside","CollgCr","TwnhsE","1Story","VinylSd","PConc","GLQ","Gd","Attchd"
"803",66,8712,5,5,1952,1952,540,1044,1,0,2,4,0,2,2010,55993,"Reg","Inside","IDOTRR","1Fam","1Story","Wd Sdng","CBlock","Unf","Fa","Basment"
"804",75,9750,6,6,1958,1958,1442,1442,1,1,4,7,0,1,2007,157900,"Reg","Inside","NAmes","1Fam","1Story","MetalSd","CBlock","Rec","TA","Attchd"
"805",45,8248,5,7,1918,1950,686,1250,1,1,3,7,0,1,2006,116000,"Reg","Inside","Edwards","1Fam","1.5Fin","Stucco","BrkTil","Unf","Fa","Detchd"
"806",48,12137,7,5,1998,1998,1649,1661,2,0,3,6,0,2,2010,224900,"IR2","CulDSac","CollgCr","1Fam","1Story","VinylSd","PConc","Unf","Gd","Attchd"
"807",NA,11425,5,6,1954,1954,1008,1008,1,0,2,4,1,1,2006,137000,"IR1","Corner","NAmes","1Fam","1Story","BrkFace","CBlock","BLQ","TA","Attchd"
"808",NA,13265,8,5,2002,2002,1568,1689,2,0,3,7,2,3,2008,271000,"IR1","CulDSac","Mitchel","1Fam","1Story","CemntBd","PConc","GLQ","Gd","Attchd"
"809",80,8816,6,7,1971,1971,1010,1052,1,0,3,6,0,2,2010,155000,"Reg","Inside","ClearCr","1Fam","SLvl","HdBoard","CBlock","GLQ","TA","Attchd"
"810",44,6371,7,5,2009,2010,1358,1358,2,0,2,6,1,2,2010,224000,"IR1","Inside","NridgHt","TwnhsE","1Story","VinylSd","PConc","GLQ","Gd","Attchd"
"811",72,7226,7,5,2003,2003,798,1640,2,1,3,6,0,2,2008,183000,"IR1","CulDSac","CollgCr","1Fam","2Story","VinylSd","PConc","Unf","Gd","Attchd"
"812",60,6000,4,4,1953,1953,936,936,1,0,2,4,0,2,2009,93000,"Reg","Inside","OldTown","2fmCon","1Story","MetalSd","CBlock","Unf","TA","Detchd"
"813",NA,12394,7,5,2003,2003,847,1733,2,1,3,7,1,2,2007,225000,"IR1","Corner","Gilbert","1Fam","2Story","VinylSd","PConc","Unf","Gd","BuiltIn"
"814",60,9900,6,7,1940,1950,778,1489,2,0,3,7,1,1,2009,139500,"Reg","Inside","SWISU","1Fam","1.5Fin","VinylSd","BrkTil","Unf","TA","Detchd"
"815",81,11216,8,5,2006,2006,1489,1489,2,0,3,7,1,2,2006,232600,"Reg","Inside","Somerst","1Fam","1Story","VinylSd","PConc","Unf","Gd","Attchd"
"816",114,14803,10,5,2007,2008,2078,2084,2,0,2,7,1,3,2008,385000,"Reg","Inside","NridgHt","1Fam","1Story","CemntBd","PConc","GLQ","Ex","Attchd"
"817",50,6130,5,6,1924,1950,784,784,1,0,2,5,0,0,2008,109500,"Reg","Inside","BrkSide","1Fam","1.5Unf","MetalSd","BrkTil","ALQ","Gd",NA
"818",65,8529,7,5,2001,2001,1454,1434,2,0,3,6,1,2,2009,189000,"IR1","Inside","SawyerW","1Fam","1Story","VinylSd","PConc","GLQ","Gd","Attchd"
"819",NA,28698,5,5,1967,1967,1013,2126,2,1,3,7,0,2,2009,185000,"IR2","CulDSac","ClearCr","1Fam","2Story","Plywood","PConc","LwQ","TA","Attchd"
"820",24,2544,7,5,2005,2005,600,1223,2,1,2,4,0,2,2006,147400,"Reg","Inside","Somerst","Twnhs","2Story","MetalSd","PConc","Unf","Gd","Detchd"
"821",80,11900,6,5,1957,1957,1392,1392,1,1,3,6,2,2,2008,166000,"IR1","Corner","NAmes","1Fam","1Story","HdBoard","CBlock","Rec","TA","Attchd"
"822",30,3180,7,5,2005,2005,600,1200,2,1,2,4,0,2,2006,151000,"Reg","Inside","Somerst","TwnhsE","2Story","MetalSd","PConc","Unf","Gd","Detchd"
"823",44,9548,7,6,2003,2003,941,1829,2,1,3,7,1,2,2010,237000,"IR1","CulDSac","CollgCr","1Fam","2Story","VinylSd","PConc","GLQ","Gd","Attchd"
"824",100,10004,6,6,1964,1964,1516,1516,1,1,3,6,0,2,2009,167000,"Reg","Inside","NAmes","1Fam","1Story","HdBoard","CBlock","Rec","TA","Attchd"
"825",75,7875,5,6,1961,1961,1144,1144,1,0,3,6,0,2,2008,139950,"Reg","Inside","NAmes","1Fam","1Story","VinylSd","CBlock","Rec","TA","Attchd"
"826",60,9600,4,7,1950,1995,1067,1067,2,0,2,4,0,2,2010,128000,"Reg","Inside","Sawyer","1Fam","1Story","VinylSd","CBlock","BLQ","Gd","Attchd"
"827",90,8100,5,6,1948,1973,1559,1559,1,0,2,5,0,2,2007,153500,"Reg","Inside","OldTown","1Fam","1Story","VinylSd","BrkTil","Rec","TA","Detchd"
"828",21,1680,6,5,1973,1973,483,987,1,1,2,5,0,1,2008,100000,"Reg","Inside","BrDale","Twnhs","2Story","HdBoard","CBlock","BLQ","TA","Detchd"
"829",75,9525,5,6,1995,2006,1099,1099,1,1,3,6,0,1,2008,144000,"Reg","Inside","CollgCr","1Fam","1Story","VinylSd","PConc","Unf","Gd","Attchd"
"830",70,11767,5,6,1946,1995,768,1200,1,0,3,6,0,1,2008,130500,"Reg","Inside","Edwards","1Fam","1.5Fin","MetalSd","CBlock","BLQ","TA","Detchd"
"831",NA,12155,6,8,1925,1950,672,1482,2,0,4,7,0,1,2008,140000,"IR1","Inside","SWISU","1Fam","2Story","Wd Sdng","BrkTil","BLQ","Fa","Detchd"
"832",60,10440,5,8,1904,2002,650,1539,2,0,3,8,1,2,2008,157500,"Reg","Inside","OldTown","1Fam","2Story","MetalSd","PConc","Unf","Gd","Detchd"
"833",82,9020,6,7,1966,1966,1127,1165,1,1,3,6,0,2,2008,174900,"Reg","Inside","NAmes","1Fam","SLvl","HdBoard","CBlock","Rec","TA","Attchd"
"834",80,8000,5,4,1961,1961,1800,1800,2,0,6,10,0,0,2007,141000,"Reg","Corner","NAmes","Duplex","1Story","BrkFace","CBlock","Unf","TA",NA
"835",100,12665,5,8,1915,1950,876,1416,1,1,4,7,1,3,2008,153900,"IR1","Inside","OldTown","1Fam","1.5Fin","Wd Sdng","BrkTil","Unf","TA","Detchd"
"836",NA,16647,5,5,1975,1981,1390,1701,2,0,3,6,2,2,2007,171000,"IR1","CulDSac","Sawyer","1Fam","SFoyer","HdBoard","CBlock","ALQ","TA","Basment"
"837",75,9317,7,5,1993,1993,740,1775,2,1,3,7,1,2,2009,213000,"Reg","Inside","SawyerW","1Fam","2Story","HdBoard","PConc","ALQ","Gd","Attchd"
"838",36,15523,5,6,1972,1972,864,864,1,0,3,5,1,1,2009,133500,"IR1","CulDSac","CollgCr","1Fam","1Story","HdBoard","CBlock","BLQ","TA","Attchd"
"839",75,45600,6,8,1908,1997,907,2358,3,0,5,10,1,2,2008,240000,"IR2","Inside","ClearCr","1Fam","1.5Fin","Wd Sdng","BrkTil","Unf","TA","Detchd"
"840",80,9600,6,7,1976,1994,528,1855,2,1,3,7,1,2,2007,187000,"Reg","FR2","Veenker","1Fam","SLvl","Plywood","CBlock","Unf","TA","Attchd"
"841",36,4435,6,5,2003,2003,848,848,1,0,1,3,0,2,2007,131500,"Reg","Inside","CollgCr","TwnhsE","1Story","VinylSd","PConc","GLQ","Gd","Attchd"
"842",NA,3196,8,5,2003,2003,1273,1456,2,0,2,7,1,2,2006,215000,"Reg","Inside","Blmngtn","TwnhsE","1Story","VinylSd","PConc","Unf","Gd","Attchd"
"843",53,7128,7,5,1941,1950,918,1646,2,0,4,7,2,1,2007,164000,"Reg","Inside","Crawfor","1Fam","2.5Unf","MetalSd","CBlock","Rec","TA","Detchd"
"844",NA,12095,6,6,1964,1964,1127,1445,1,1,3,7,1,2,2009,158000,"IR1","Corner","NAmes","1Fam","SLvl","MetalSd","CBlock","Rec","TA","Attchd"
"845",102,17920,5,4,1955,1974,1763,1779,1,1,3,6,1,2,2006,170000,"Reg","Inside","Sawyer","1Fam","1Story","Wd Sdng","CBlock","ALQ","TA","Attchd"
"846",NA,6897,5,8,1962,2010,1040,1040,1,1,3,6,0,1,2010,127000,"IR1","Corner","Sawyer","1Fam","1Story","HdBoard","CBlock","ALQ","TA","Detchd"
"847",NA,10970,6,6,1978,1978,940,1026,1,0,3,5,0,2,2008,147000,"IR1","Inside","CollgCr","1Fam","SLvl","Plywood","CBlock","GLQ","TA","Detchd"
"848",65,8125,6,5,1994,1995,702,1481,2,1,3,6,1,2,2009,174000,"Reg","Inside","Gilbert","1Fam","2Story","HdBoard","PConc","Unf","TA","Attchd"
"849",80,10400,7,5,1976,1976,1090,1370,2,0,3,6,1,2,2009,152000,"Reg","Inside","NWAmes","1Fam","1Story","HdBoard","CBlock","Unf","TA","Attchd"
"850",NA,11029,6,7,1968,1984,1054,2654,2,1,4,9,1,2,2006,250000,"IR1","Corner","NWAmes","1Fam","2Story","HdBoard","CBlock","BLQ","Gd","Attchd"
